2023-06-24 02:02:54 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2023-06-24 02:02:54 install libtinfo6:amd64 <none> 6.3-2
2023-06-24 02:02:54 status half-installed libtinfo6:amd64 6.3-2
2023-06-24 02:02:54 status unpacked libtinfo6:amd64 6.3-2
2023-06-24 02:02:54 install libtirpc-common:all <none> 1.3.2-2build1
2023-06-24 02:02:54 status half-installed libtirpc-common:all 1.3.2-2build1
2023-06-24 02:02:54 status unpacked libtirpc-common:all 1.3.2-2build1
2023-06-24 02:02:54 install libtirpc3:amd64 <none> 1.3.2-2build1
2023-06-24 02:02:54 status half-installed libtirpc3:amd64 1.3.2-2build1
2023-06-24 02:02:54 status unpacked libtirpc3:amd64 1.3.2-2build1
2023-06-24 02:02:54 install libudev1:amd64 <none> 249.11-0ubuntu3
2023-06-24 02:02:54 status half-installed libudev1:amd64 249.11-0ubuntu3
2023-06-24 02:02:54 status unpacked libudev1:amd64 249.11-0ubuntu3
2023-06-24 02:02:54 install libuuid1:amd64 <none> 2.37.2-4ubuntu3
2023-06-24 02:02:54 status half-installed libuuid1:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:54 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:54 install libzstd1:amd64 <none> 1.4.8+dfsg-3build1
2023-06-24 02:02:54 status half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2023-06-24 02:02:54 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2023-06-24 02:02:54 install login:amd64 <none> 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 status half-installed login:amd64 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 status unpacked login:amd64 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 install logsave:amd64 <none> 1.46.5-2ubuntu1
2023-06-24 02:02:54 status half-installed logsave:amd64 1.46.5-2ubuntu1
2023-06-24 02:02:54 status unpacked logsave:amd64 1.46.5-2ubuntu1
2023-06-24 02:02:54 install lsb-base:all <none> 11.1.0ubuntu4
2023-06-24 02:02:54 status half-installed lsb-base:all 11.1.0ubuntu4
2023-06-24 02:02:54 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-24 02:02:54 upgrade mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2023-06-24 02:02:54 status half-configured mawk:amd64 1.3.4.20200120-3
2023-06-24 02:02:54 status unpacked mawk:amd64 1.3.4.20200120-3
2023-06-24 02:02:54 status half-installed mawk:amd64 1.3.4.20200120-3
2023-06-24 02:02:54 status unpacked mawk:amd64 1.3.4.20200120-3
2023-06-24 02:02:54 install mount:amd64 <none> 2.37.2-4ubuntu3
2023-06-24 02:02:54 status half-installed mount:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:54 status unpacked mount:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:54 install ncurses-base:all <none> 6.3-2
2023-06-24 02:02:54 status half-installed ncurses-base:all 6.3-2
2023-06-24 02:02:54 status unpacked ncurses-base:all 6.3-2
2023-06-24 02:02:54 install ncurses-bin:amd64 <none> 6.3-2
2023-06-24 02:02:54 status half-installed ncurses-bin:amd64 6.3-2
2023-06-24 02:02:54 status unpacked ncurses-bin:amd64 6.3-2
2023-06-24 02:02:54 install passwd:amd64 <none> 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 status half-installed passwd:amd64 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2023-06-24 02:02:54 upgrade perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-06-24 02:02:54 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2023-06-24 02:02:54 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-06-24 02:02:54 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2023-06-24 02:02:54 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-06-24 02:02:54 install procps:amd64 <none> 2:3.3.17-6ubuntu2
2023-06-24 02:02:54 status half-installed procps:amd64 2:3.3.17-6ubuntu2
2023-06-24 02:02:54 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2023-06-24 02:02:54 install sed:amd64 <none> 4.8-1ubuntu2
2023-06-24 02:02:54 status half-installed sed:amd64 4.8-1ubuntu2
2023-06-24 02:02:54 status unpacked sed:amd64 4.8-1ubuntu2
2023-06-24 02:02:54 install sensible-utils:all <none> 0.0.17
2023-06-24 02:02:54 status half-installed sensible-utils:all 0.0.17
2023-06-24 02:02:54 status unpacked sensible-utils:all 0.0.17
2023-06-24 02:02:54 install sysvinit-utils:amd64 <none> 3.01-1ubuntu1
2023-06-24 02:02:54 status half-installed sysvinit-utils:amd64 3.01-1ubuntu1
2023-06-24 02:02:54 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2023-06-24 02:02:55 install tar:amd64 <none> 1.34+dfsg-1build3
2023-06-24 02:02:55 status half-installed tar:amd64 1.34+dfsg-1build3
2023-06-24 02:02:55 status unpacked tar:amd64 1.34+dfsg-1build3
2023-06-24 02:02:55 install usrmerge:all <none> 25ubuntu2
2023-06-24 02:02:55 status half-installed usrmerge:all 25ubuntu2
2023-06-24 02:02:55 status unpacked usrmerge:all 25ubuntu2
2023-06-24 02:02:55 install util-linux:amd64 <none> 2.37.2-4ubuntu3
2023-06-24 02:02:55 status half-installed util-linux:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:55 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2023-06-24 02:02:55 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-06-24 02:02:55 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-06-24 02:02:55 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-06-24 02:02:55 startup packages configure
2023-06-24 02:02:55 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-06-24 02:02:55 status unpacked lsb-base:all 11.1.0ubuntu4
2023-06-24 02:02:55 status half-configured lsb-base:all 11.1.0ubuntu4
2023-06-24 02:02:55 status installed lsb-base:all 11.1.0ubuntu4
2023-06-24 02:02:55 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-06-24 02:02:55 status unpacked libtirpc-common:all 1.3.2-2build1
2023-06-24 02:02:55 status half-configured libtirpc-common:all 1.3.2-2build1
2023-06-24 02:02:55 status installed libtirpc-common:all 1.3.2-2build1
2023-06-24 02:02:55 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-06-24 02:02:55 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-06-24 02:02:55 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-06-24 02:02:55 status installed libaudit-common:all 1:3.0.7-1build1
2023-06-24 02:02:55 configure libsemanage-common:all 3.3-1build2 <none>
2023-06-24 02:02:55 status unpacked libsemanage-common:all 3.3-1build2
2023-06-24 02:02:55 status half-configured libsemanage-common:all 3.3-1build2
2023-06-24 02:02:55 status installed libsemanage-common:all 3.3-1build2
2023-06-24 02:02:55 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2023-06-24 02:02:55 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 configure ncurses-base:all 6.3-2 <none>
2023-06-24 02:02:55 status unpacked ncurses-base:all 6.3-2
2023-06-24 02:02:55 status half-configured ncurses-base:all 6.3-2
2023-06-24 02:02:55 status installed ncurses-base:all 6.3-2
2023-06-24 02:02:55 configure sensible-utils:all 0.0.17 <none>
2023-06-24 02:02:55 status unpacked sensible-utils:all 0.0.17
2023-06-24 02:02:55 status half-configured sensible-utils:all 0.0.17
2023-06-24 02:02:55 status installed sensible-utils:all 0.0.17
2023-06-24 02:02:55 configure libcrypt1:amd64 1:4.4.27-1 <none>
2023-06-24 02:02:55 status unpacked libcrypt1:amd64 1:4.4.27-1
2023-06-24 02:02:55 status half-configured libcrypt1:amd64 1:4.4.27-1
2023-06-24 02:02:55 status installed libcrypt1:amd64 1:4.4.27-1
2023-06-24 02:02:55 configure libgcc-s1:amd64 12-20220319-1ubuntu1 <none>
2023-06-24 02:02:55 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 status half-configured libgcc-s1:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 status installed libgcc-s1:amd64 12-20220319-1ubuntu1
2023-06-24 02:02:55 configure libc6:amd64 2.35-0ubuntu3 <none>
2023-06-24 02:02:55 status unpacked libc6:amd64 2.35-0ubuntu3
2023-06-24 02:02:55 status half-configured libc6:amd64 2.35-0ubuntu3
2023-06-24 02:02:55 status installed libc6:amd64 2.35-0ubuntu3
2023-06-24 02:02:55 configure libudev1:amd64 249.11-0ubuntu3 <none>
2023-06-24 02:02:55 status unpacked libudev1:amd64 249.11-0ubuntu3
2023-06-24 02:02:55 status half-configured libudev1:amd64 249.11-0ubuntu3
2023-06-24 02:02:55 status installed libudev1:amd64 249.11-0ubuntu3
2023-06-24 02:02:55 configure libattr1:amd64 1:2.5.1-1build1 <none>
